reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
10091122,430,bckc,4,5,3,4,5,6,8,FALSE,FALSE,2,"Chicago, IL, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Good location for walking to points of interest in Boston,1,Two days in Boston,Spent two days sight seeing Boston. This was a great location for beginning our tours.
10094618,421,Mark7,4,3,4,4,4,5,7,FALSE,FALSE,1,"Gardena, CA, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,Centrally located to midtown and subway,1,some comments,A large comforter is not necessary in the summer time.It just gets in the way.The little radio on the nightstand was unusable(poor reception).Bathroom was very clean and nice.Staff was helpful and did a good job.The room even had a fairly good view of 7th Ave.
10094846,430,Ravz7,5,4,5,4,5,4,6,FALSE,FALSE,3,London Uk,8/[YEAR-0],9/2/[YEAR-0],TRUE,This is a hotel which has great service and rooms !,4,A great location and facilities,We had a fantastic stay. Checked in and were upgraded. Hotel had good club lounge and excellent location . Great link to shops and restaurants . Enjoyed swimming pool. Great pillows and bed.
10094899,814,Anonymous,3,4,1,2,3,0,6,FALSE,FALSE,3,"Vienna, Virginia",8/[YEAR-0],9/2/[YEAR-0],FALSE,Service is very poor,2,POOR SERVICE,"Maid did not clean my room and requested for towels after never arrived. Did not even care about being a GOLD member. The front desk staffs are not friendly.When I check-out the only thing she said was ""your balance is zero""."
10094916,1282,Paul56,5,5,5,5,5,5,4,FALSE,FALSE,2,"Cincinnati, OH",8/[YEAR-0],9/2/[YEAR-0],TRUE,,3,Staff was very helpful!,I was leaving on vacation right after my business and had an extended vehicle. The staff was gracious to find a place for my vehicle while I was on business for the day.
10094923,1236,jotn63,5,5,5,5,5,4,3,TRUE,FALSE,2,"Knoxville, TN",8/[YEAR-0],9/2/[YEAR-0],TRUE,"Quiet, clean and friendly",2,Very Impressd,The room was very clean and seemed to be recently remodeled.
10096091,1995,Javed,5,5,5,5,5,3,6,FALSE,FALSE,4,"New York, NY, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,,2,This is a great hotel.,This hotel and it's staff are amazing. The rooms are great the heated pool is fantastic and the breakfast buffet is wonderfull. I have never meet such great staff.
10096683,468,Ekuah918,5,5,5,5,5,4,6,FALSE,FALSE,2,"New Jersey, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,It's the best place for a family vacation,1,Best Summer Ever,"The Dolphin is the best hotel I have ever been to in my entire life. The food was great the, staff was very nice, the pool was fun and hot tub was very relaxing. I have been to many of hotels and this one was the best so far. Also the resturants were amazing my favorite was the Fountain and Picabu. i hope I can come back very soon."
10098090,33,JRobert,4,3,4,4,2,6,6,FALSE,FALSE,2,VA,8/[YEAR-0],9/2/[YEAR-0],FALSE,,2,hate the fee,I was surprised to find that a parking fee had been added. This additional cost will influence any future decisions about where we stay when visiting the Baltimore area.
10102352,196,Organizedone,5,5,5,5,5,6,8,FALSE,FALSE,3,"Great Neck, NY, USA",8/[YEAR-0],9/2/[YEAR-0],TRUE,The way your staff responded to our every need.,2,Staff,We were so pleased to be upgraded. We too value our Grandbournes recognition.
